Please Note,Princeton University does not consider student comment information provided to be official University course evaluation data; it does not take that information into consideration in approving courses for permanent status; and it does not take the information into consideration in making tenure or promotion decisions.,
Student Comments,,What advice would you give to another student considering taking this course?
"Prepare to do a lot of work, go to office hours; you'll learn a lot about steel, but if it's not required/you don't plan to become a civil engineer then no need to take this course",,
Get a three ring binder to hold all the handouts. Keep all materials organized for the midterm and final,,
