Please Note,Princeton University does not consider student comment information provided to be official University course evaluation data; it does not take that information into consideration in approving courses for permanent status; and it does not take the information into consideration in making tenure or promotion decisions.,
Student Comments,,What advice would you give to another student considering taking this course?
"Prof Wolfe is a really kind professor, and the readings are super interesting, thought very philosophical",,
be prepared for very advanced discussion. come in with a philosophy background or don't bother.,,
"I actually really liked this course and learned a lot. Definitely disorganized and inefficient sometimes, but the readings were great",,
