Please Note,Princeton University does not consider student comment information provided to be official University course evaluation data; it does not take that information into consideration in approving courses for permanent status; and it does not take the information into consideration in making tenure or promotion decisions.,
Student Comments,,What advice would you give to another student considering taking this course?
A great studio with Anda and Jenny to bring together your practical and theoretical interests. they will help to foster what ever it is you are interested in.,,
